Sensorname,timestamp,distanceToWaterInMM,timestampInUTC
2SB,1781767068460,819,2026-06-18T07:17:48.460Z
1SB,1781767072456,823,2026-06-18T07:17:52.456Z
1BB,1781767072476,790,2026-06-18T07:17:52.476Z
2BB,1781767072538,628,2026-06-18T07:17:52.538Z
2SB,1781767072569,737,2026-06-18T07:17:52.569Z
2BB,1781767074261,652,2026-06-18T07:17:54.261Z
1BB,1781767074277,797,2026-06-18T07:17:54.277Z
2SB,1781767074277,754,2026-06-18T07:17:54.277Z
1SB,1781767074351,855,2026-06-18T07:17:54.351Z
1BB,1781767076382,802,2026-06-18T07:17:56.382Z
2SB,1781767076382,741,2026-06-18T07:17:56.382Z
1SB,1781767076424,823,2026-06-18T07:17:56.424Z
2BB,1781767076458,633,2026-06-18T07:17:56.458Z
2BB,1781767078372,641,2026-06-18T07:17:58.372Z
1SB,1781767078423,840,2026-06-18T07:17:58.423Z
1BB,1781767078470,791,2026-06-18T07:17:58.470Z
2SB,1781767078476,743,2026-06-18T07:17:58.476Z
1BB,1781767080377,785,2026-06-18T07:18:00.377Z
2SB,1781767080476,766,2026-06-18T07:18:00.476Z
2BB,1781767080476,584,2026-06-18T07:18:00.476Z
1SB,1781767080486,856,2026-06-18T07:18:00.486Z
1BB,1781767082561,749,2026-06-18T07:18:02.561Z
1SB,1781767082573,876,2026-06-18T07:18:02.573Z
2SB,1781767082573,732,2026-06-18T07:18:02.573Z
2BB,1781767082573,602,2026-06-18T07:18:02.573Z
1BB,1781767084467,763,2026-06-18T07:18:04.467Z
1SB,1781767084555,852,2026-06-18T07:18:04.555Z
2SB,1781767084569,746,2026-06-18T07:18:04.569Z
2SB,1781767086382,745,2026-06-18T07:18:06.382Z
2BB,1781767086389,621,2026-06-18T07:18:06.389Z
1SB,1781767086444,889,2026-06-18T07:18:06.444Z
1BB,1781767086469,797,2026-06-18T07:18:06.469Z
1BB,1781767088482,777,2026-06-18T07:18:08.482Z
2SB,1781767088482,746,2026-06-18T07:18:08.482Z
2BB,1781767088507,589,2026-06-18T07:18:08.507Z
1SB,1781767088514,828,2026-06-18T07:18:08.514Z
1SB,1781767090516,886,2026-06-18T07:18:10.516Z
1BB,1781767090563,803,2026-06-18T07:18:10.563Z
2SB,1781767090569,741,2026-06-18T07:18:10.569Z
2BB,1781767090610,632,2026-06-18T07:18:10.610Z
2BB,1781767092513,617,2026-06-18T07:18:12.513Z
2SB,1781767092577,737,2026-06-18T07:18:12.577Z
1SB,1781767092601,857,2026-06-18T07:18:12.601Z
2BB,1781767094626,621,2026-06-18T07:18:14.626Z
1BB,1781767094653,776,2026-06-18T07:18:14.653Z
2SB,1781767094669,721,2026-06-18T07:18:14.669Z
1SB,1781767094685,909,2026-06-18T07:18:14.685Z
1BB,1781767096358,774,2026-06-18T07:18:16.358Z
2SB,1781767096390,703,2026-06-18T07:18:16.390Z
2BB,1781767096438,626,2026-06-18T07:18:16.438Z
1SB,1781767096495,857,2026-06-18T07:18:16.495Z
2BB,1781767098538,614,2026-06-18T07:18:18.538Z
1BB,1781767098549,777,2026-06-18T07:18:18.549Z
1SB,1781767098570,879,2026-06-18T07:18:18.570Z
2SB,1781767098570,750,2026-06-18T07:18:18.570Z
1BB,1781767100754,762,2026-06-18T07:18:20.754Z
1SB,1781767100834,858,2026-06-18T07:18:20.834Z
2SB,1781767100865,752,2026-06-18T07:18:20.865Z
2BB,1781767100928,617,2026-06-18T07:18:20.928Z
1BB,1781767102565,798,2026-06-18T07:18:22.565Z
2BB,1781767102565,626,2026-06-18T07:18:22.565Z
2SB,1781767102570,750,2026-06-18T07:18:22.570Z
1SB,1781767102644,899,2026-06-18T07:18:22.644Z
1BB,1781767104651,785,2026-06-18T07:18:24.651Z
2BB,1781767104760,615,2026-06-18T07:18:24.760Z
2SB,1781767104760,731,2026-06-18T07:18:24.760Z
1SB,1781767104809,844,2026-06-18T07:18:24.809Z
1BB,1781767106464,813,2026-06-18T07:18:26.464Z
2BB,1781767106572,587,2026-06-18T07:18:26.572Z
2SB,1781767106572,729,2026-06-18T07:18:26.572Z
1SB,1781767106604,827,2026-06-18T07:18:26.604Z
1BB,1781767108554,800,2026-06-18T07:18:28.554Z
2BB,1781767110497,604,2026-06-18T07:18:30.497Z
2SB,1781767110584,718,2026-06-18T07:18:30.584Z
1SB,1781767110594,866,2026-06-18T07:18:30.594Z
1BB,1781767110648,822,2026-06-18T07:18:30.648Z
1BB,1781767112557,822,2026-06-18T07:18:32.557Z
2SB,1781767112668,782,2026-06-18T07:18:32.668Z
1SB,1781767112684,849,2026-06-18T07:18:32.684Z
2BB,1781767112700,630,2026-06-18T07:18:32.700Z
2BB,1781767114601,616,2026-06-18T07:18:34.601Z
1SB,1781767114663,823,2026-06-18T07:18:34.663Z
2SB,1781767114675,733,2026-06-18T07:18:34.675Z
1BB,1781767114739,831,2026-06-18T07:18:34.739Z
1BB,1781767116459,832,2026-06-18T07:18:36.459Z
2SB,1781767116490,758,2026-06-18T07:18:36.490Z
1SB,1781767116554,859,2026-06-18T07:18:36.554Z
2BB,1781767118530,598,2026-06-18T07:18:38.530Z
1BB,1781767118559,822,2026-06-18T07:18:38.559Z
2SB,1781767118601,756,2026-06-18T07:18:38.601Z
1SB,1781767118643,823,2026-06-18T07:18:38.643Z
1SB,1781767120638,853,2026-06-18T07:18:40.638Z
2BB,1781767120638,653,2026-06-18T07:18:40.638Z
1BB,1781767120652,827,2026-06-18T07:18:40.652Z
2SB,1781767120678,749,2026-06-18T07:18:40.678Z
1BB,1781767124740,853,2026-06-18T07:18:44.740Z
1SB,1781767124788,870,2026-06-18T07:18:44.788Z
2BB,1781767124835,641,2026-06-18T07:18:44.835Z
2SB,1781767124867,766,2026-06-18T07:18:44.867Z
1BB,1781767126454,842,2026-06-18T07:18:46.454Z
2SB,1781767126485,740,2026-06-18T07:18:46.485Z
2BB,1781767126549,642,2026-06-18T07:18:46.549Z
1SB,1781767126597,828,2026-06-18T07:18:46.597Z
1BB,1781767128831,827,2026-06-18T07:18:48.831Z
2SB,1781767128886,749,2026-06-18T07:18:48.886Z
1SB,1781767128913,823,2026-06-18T07:18:48.913Z
2BB,1781767128913,669,2026-06-18T07:18:48.913Z
1BB,1781767130641,832,2026-06-18T07:18:50.641Z
2BB,1781767130673,671,2026-06-18T07:18:50.673Z
2SB,1781767130689,732,2026-06-18T07:18:50.689Z
1SB,1781767130848,819,2026-06-18T07:18:50.848Z
1BB,1781767132740,832,2026-06-18T07:18:52.740Z
1SB,1781767132851,819,2026-06-18T07:18:52.851Z
2BB,1781767132861,675,2026-06-18T07:18:52.861Z
2SB,1781767132877,731,2026-06-18T07:18:52.877Z
1BB,1781767134739,831,2026-06-18T07:18:54.739Z
1SB,1781767134940,819,2026-06-18T07:18:54.940Z
2SB,1781767134976,723,2026-06-18T07:18:54.976Z
2BB,1781767134976,674,2026-06-18T07:18:54.976Z
2SB,1781767136783,736,2026-06-18T07:18:56.783Z
2BB,1781767136788,674,2026-06-18T07:18:56.788Z
1SB,1781767136831,823,2026-06-18T07:18:56.831Z
1BB,1781767136831,851,2026-06-18T07:18:56.831Z
1BB,1781767138545,828,2026-06-18T07:18:58.545Z
2SB,1781767138592,727,2026-06-18T07:18:58.592Z
2BB,1781767138608,675,2026-06-18T07:18:58.608Z
1SB,1781767138719,823,2026-06-18T07:18:58.719Z
1BB,1781767140738,829,2026-06-18T07:19:00.738Z
2SB,1781767140788,727,2026-06-18T07:19:00.788Z
2BB,1781767140820,670,2026-06-18T07:19:00.820Z
1SB,1781767140820,819,2026-06-18T07:19:00.820Z
1BB,1781767142736,836,2026-06-18T07:19:02.736Z
2SB,1781767142882,732,2026-06-18T07:19:02.882Z
1SB,1781767142896,828,2026-06-18T07:19:02.896Z
2BB,1781767142914,679,2026-06-18T07:19:02.914Z
2BB,1781767144820,675,2026-06-18T07:19:04.820Z
1BB,1781767144832,826,2026-06-18T07:19:04.832Z
2SB,1781767144882,727,2026-06-18T07:19:04.882Z
1SB,1781767144882,819,2026-06-18T07:19:04.882Z
1BB,1781767146741,823,2026-06-18T07:19:06.741Z
1SB,1781767146875,820,2026-06-18T07:19:06.875Z
2SB,1781767146882,740,2026-06-18T07:19:06.882Z
2BB,1781767146922,671,2026-06-18T07:19:06.922Z
2SB,1781767148700,740,2026-06-18T07:19:08.700Z
1BB,1781767148730,839,2026-06-18T07:19:08.730Z
2BB,1781767148730,674,2026-06-18T07:19:08.730Z
1SB,1781767148778,819,2026-06-18T07:19:08.778Z
1BB,1781767150636,835,2026-06-18T07:19:10.636Z
1SB,1781767152851,819,2026-06-18T07:19:12.851Z
2SB,1781767152889,727,2026-06-18T07:19:12.889Z
2BB,1781767152945,670,2026-06-18T07:19:12.945Z
2BB,1781767154758,674,2026-06-18T07:19:14.758Z
1SB,1781767154821,828,2026-06-18T07:19:14.821Z
2SB,1781767154885,732,2026-06-18T07:19:14.885Z
2BB,1781767156867,674,2026-06-18T07:19:16.867Z
2SB,1781767156882,846,2026-06-18T07:19:16.882Z
1SB,1781767156913,824,2026-06-18T07:19:16.913Z
1BB,1781767156927,831,2026-06-18T07:19:16.927Z
1SB,1781767158890,819,2026-06-18T07:19:18.890Z
1BB,1781767158922,834,2026-06-18T07:19:18.922Z
2BB,1781767158970,670,2026-06-18T07:19:18.970Z
2SB,1781767158985,728,2026-06-18T07:19:18.985Z
1BB,1781767160718,820,2026-06-18T07:19:20.718Z
2BB,1781767160781,675,2026-06-18T07:19:20.781Z
1SB,1781767160877,819,2026-06-18T07:19:20.877Z
2SB,1781767160892,749,2026-06-18T07:19:20.892Z
1BB,1781767162836,825,2026-06-18T07:19:22.836Z
1SB,1781767162879,823,2026-06-18T07:19:22.879Z
2BB,1781767162892,665,2026-06-18T07:19:22.892Z
2SB,1781767162893,741,2026-06-18T07:19:22.893Z
2BB,1781767164793,670,2026-06-18T07:19:24.793Z
1SB,1781767164866,819,2026-06-18T07:19:24.866Z
2SB,1781767164888,742,2026-06-18T07:19:24.888Z
1BB,1781767164920,825,2026-06-18T07:19:24.920Z
2SB,1781767166896,737,2026-06-18T07:19:26.896Z
1BB,1781767166912,822,2026-06-18T07:19:26.912Z
1SB,1781767166944,823,2026-06-18T07:19:26.944Z
1SB,1781767168924,819,2026-06-18T07:19:28.924Z
2SB,1781767168988,742,2026-06-18T07:19:28.988Z
2BB,1781767169007,665,2026-06-18T07:19:29.007Z
1BB,1781767169007,818,2026-06-18T07:19:29.007Z
2SB,1781767172805,729,2026-06-18T07:19:32.805Z
1BB,1781767172821,820,2026-06-18T07:19:32.821Z
1SB,1781767172821,819,2026-06-18T07:19:32.821Z
2BB,1781767172821,670,2026-06-18T07:19:32.821Z
1BB,1781767174913,820,2026-06-18T07:19:34.913Z
2SB,1781767175007,733,2026-06-18T07:19:35.007Z
1SB,1781767175021,823,2026-06-18T07:19:35.021Z
2BB,1781767175023,674,2026-06-18T07:19:35.023Z
1BB,1781767177008,825,2026-06-18T07:19:37.008Z
1SB,1781767177071,819,2026-06-18T07:19:37.071Z
2SB,1781767177087,733,2026-06-18T07:19:37.087Z
2BB,1781767177135,670,2026-06-18T07:19:37.135Z
2SB,1781767178900,729,2026-06-18T07:19:38.900Z
1BB,1781767178900,822,2026-06-18T07:19:38.900Z
2BB,1781767178948,674,2026-06-18T07:19:38.948Z
1SB,1781767178964,819,2026-06-18T07:19:38.964Z
2BB,1781767180774,675,2026-06-18T07:19:40.774Z
1BB,1781767180805,828,2026-06-18T07:19:40.805Z
1SB,1781767180869,824,2026-06-18T07:19:40.869Z
2SB,1781767182911,728,2026-06-18T07:19:42.911Z
1BB,1781767182915,825,2026-06-18T07:19:42.915Z
1SB,1781767182947,819,2026-06-18T07:19:42.947Z
2BB,1781767182964,674,2026-06-18T07:19:42.964Z
1BB,1781767184905,826,2026-06-18T07:19:44.905Z
1SB,1781767184950,819,2026-06-18T07:19:44.950Z
2SB,1781767185001,728,2026-06-18T07:19:45.001Z
2BB,1781767186899,674,2026-06-18T07:19:46.899Z
2SB,1781767187005,741,2026-06-18T07:19:47.005Z
1BB,1781767187005,843,2026-06-18T07:19:47.005Z
1SB,1781767187021,819,2026-06-18T07:19:47.021Z
1SB,1781767189022,815,2026-06-18T07:19:49.022Z
2BB,1781767189090,674,2026-06-18T07:19:49.090Z
1BB,1781767189100,823,2026-06-18T07:19:49.100Z
2SB,1781767189100,732,2026-06-18T07:19:49.100Z
2BB,1781767190808,674,2026-06-18T07:19:50.808Z
1BB,1781767190808,803,2026-06-18T07:19:50.808Z
2SB,1781767190808,728,2026-06-18T07:19:50.808Z
1SB,1781767190902,815,2026-06-18T07:19:50.902Z
1SB,1781767192890,801,2026-06-18T07:19:52.890Z
1BB,1781767192906,765,2026-06-18T07:19:52.906Z
2BB,1781767192906,673,2026-06-18T07:19:52.906Z
2SB,1781767192906,732,2026-06-18T07:19:52.906Z
1SB,1781767194986,797,2026-06-18T07:19:54.986Z
2SB,1781767195002,732,2026-06-18T07:19:55.002Z
2BB,1781767195018,674,2026-06-18T07:19:55.018Z
2BB,1781767196935,674,2026-06-18T07:19:56.935Z
1BB,1781767197012,751,2026-06-18T07:19:57.012Z
2SB,1781767197013,736,2026-06-18T07:19:57.013Z
1SB,1781767197069,821,2026-06-18T07:19:57.069Z
1SB,1781767199055,801,2026-06-18T07:19:59.055Z
1BB,1781767199102,741,2026-06-18T07:19:59.102Z
2SB,1781767199102,736,2026-06-18T07:19:59.102Z
2BB,1781767199134,673,2026-06-18T07:19:59.134Z
1BB,1781767201007,731,2026-06-18T07:20:01.007Z
2SB,1781767201196,741,2026-06-18T07:20:01.196Z
2BB,1781767201236,674,2026-06-18T07:20:01.236Z
1SB,1781767201236,794,2026-06-18T07:20:01.236Z
1BB,1781767203003,721,2026-06-18T07:20:03.003Z
2SB,1781767203003,736,2026-06-18T07:20:03.003Z
2BB,1781767203050,674,2026-06-18T07:20:03.050Z
1SB,1781767203130,795,2026-06-18T07:20:03.130Z
1BB,1781767204917,757,2026-06-18T07:20:04.917Z
2SB,1781767205014,732,2026-06-18T07:20:05.014Z
1SB,1781767205014,803,2026-06-18T07:20:05.014Z
2BB,1781767206970,674,2026-06-18T07:20:06.970Z
1BB,1781767207101,762,2026-06-18T07:20:07.101Z
1SB,1781767207101,802,2026-06-18T07:20:07.101Z
2SB,1781767207117,735,2026-06-18T07:20:07.117Z
1BB,1781767209005,778,2026-06-18T07:20:09.005Z
1SB,1781767209179,806,2026-06-18T07:20:09.179Z
2SB,1781767209211,732,2026-06-18T07:20:09.211Z
2BB,1781767209259,674,2026-06-18T07:20:09.259Z
1BB,1781767211195,779,2026-06-18T07:20:11.195Z
1BB,1781767212908,773,2026-06-18T07:20:12.908Z
1SB,1781767213067,813,2026-06-18T07:20:13.067Z
2BB,1781767213083,674,2026-06-18T07:20:13.083Z
2SB,1781767213114,736,2026-06-18T07:20:13.114Z
1SB,1781767215049,816,2026-06-18T07:20:15.049Z
1BB,1781767215099,778,2026-06-18T07:20:15.099Z
2SB,1781767215112,736,2026-06-18T07:20:15.112Z
1BB,1781767217087,774,2026-06-18T07:20:17.087Z
2BB,1781767217103,674,2026-06-18T07:20:17.103Z
2SB,1781767217224,736,2026-06-18T07:20:17.224Z
1SB,1781767217230,804,2026-06-18T07:20:17.230Z
1SB,1781767219323,806,2026-06-18T07:20:19.323Z
1BB,1781767219383,763,2026-06-18T07:20:19.383Z
2BB,1781767219397,674,2026-06-18T07:20:19.397Z
2SB,1781767219403,732,2026-06-18T07:20:19.403Z
1BB,1781767221086,762,2026-06-18T07:20:21.086Z
2SB,1781767221131,736,2026-06-18T07:20:21.131Z
1SB,1781767221213,807,2026-06-18T07:20:21.213Z
2BB,1781767223223,678,2026-06-18T07:20:23.223Z
2SB,1781767223223,736,2026-06-18T07:20:23.223Z
1BB,1781767223270,770,2026-06-18T07:20:23.270Z
1SB,1781767223295,816,2026-06-18T07:20:23.295Z
1BB,1781767224985,776,2026-06-18T07:20:24.985Z
2BB,1781767225032,678,2026-06-18T07:20:25.032Z
1SB,1781767225080,811,2026-06-18T07:20:25.080Z
2SB,1781767225128,731,2026-06-18T07:20:25.128Z
1BB,1781767227187,777,2026-06-18T07:20:27.187Z
2SB,1781767227232,731,2026-06-18T07:20:27.232Z
2BB,1781767227240,673,2026-06-18T07:20:27.240Z
1SB,1781767227268,805,2026-06-18T07:20:27.268Z
1BB,1781767229088,769,2026-06-18T07:20:29.088Z
2BB,1781767229151,673,2026-06-18T07:20:29.151Z
1SB,1781767229174,811,2026-06-18T07:20:29.174Z
2SB,1781767229231,735,2026-06-18T07:20:29.231Z
2SB,1781767231236,732,2026-06-18T07:20:31.236Z
1SB,1781767231245,825,2026-06-18T07:20:31.245Z
2BB,1781767231245,673,2026-06-18T07:20:31.245Z
1BB,1781767231277,773,2026-06-18T07:20:31.277Z
2BB,1781767233167,674,2026-06-18T07:20:33.167Z
1BB,1781767233284,762,2026-06-18T07:20:33.284Z
2SB,1781767233326,735,2026-06-18T07:20:33.326Z
1SB,1781767233326,819,2026-06-18T07:20:33.326Z
2SB,1781767235040,731,2026-06-18T07:20:35.040Z
2BB,1781767235081,674,2026-06-18T07:20:35.081Z
1BB,1781767235091,774,2026-06-18T07:20:35.091Z
1SB,1781767235130,833,2026-06-18T07:20:35.130Z
1BB,1781767237188,760,2026-06-18T07:20:37.188Z
1SB,1781767237215,832,2026-06-18T07:20:37.215Z
1BB,1781767239187,771,2026-06-18T07:20:39.187Z
1SB,1781767239305,846,2026-06-18T07:20:39.305Z
2SB,1781767239328,735,2026-06-18T07:20:39.328Z
2BB,1781767239376,674,2026-06-18T07:20:39.376Z
1BB,1781767241277,760,2026-06-18T07:20:41.277Z
2BB,1781767241293,674,2026-06-18T07:20:41.293Z
1SB,1781767241372,828,2026-06-18T07:20:41.372Z
2SB,1781767241420,744,2026-06-18T07:20:41.420Z
2BB,1781767243208,674,2026-06-18T07:20:43.208Z
2SB,1781767243239,736,2026-06-18T07:20:43.239Z
1BB,1781767243367,756,2026-06-18T07:20:43.367Z
2SB,1781767245053,731,2026-06-18T07:20:45.053Z
1BB,1781767245094,750,2026-06-18T07:20:45.094Z
2BB,1781767245123,674,2026-06-18T07:20:45.123Z
1SB,1781767245173,824,2026-06-18T07:20:45.173Z
1BB,1781767247179,752,2026-06-18T07:20:47.179Z
2BB,1781767247226,674,2026-06-18T07:20:47.226Z
2SB,1781767247244,736,2026-06-18T07:20:47.244Z
1SB,1781767247255,819,2026-06-18T07:20:47.255Z
1BB,1781767249281,775,2026-06-18T07:20:49.281Z
1SB,1781767249335,819,2026-06-18T07:20:49.335Z
2SB,1781767249335,735,2026-06-18T07:20:49.335Z
2BB,1781767249424,674,2026-06-18T07:20:49.424Z
2BB,1781767251242,674,2026-06-18T07:20:51.242Z
1BB,1781767251275,784,2026-06-18T07:20:51.275Z
1SB,1781767251323,820,2026-06-18T07:20:51.323Z
2SB,1781767251339,735,2026-06-18T07:20:51.339Z
1SB,1781767253302,829,2026-06-18T07:20:53.302Z
2SB,1781767253334,732,2026-06-18T07:20:53.334Z
2BB,1781767253350,674,2026-06-18T07:20:53.350Z
1BB,1781767253366,821,2026-06-18T07:20:53.366Z
1BB,1781767255375,828,2026-06-18T07:20:55.375Z
1SB,1781767255483,820,2026-06-18T07:20:55.483Z
2SB,1781767255540,741,2026-06-18T07:20:55.540Z
2BB,1781767255544,674,2026-06-18T07:20:55.544Z
1BB,1781767257186,824,2026-06-18T07:20:57.186Z
2SB,1781767257256,741,2026-06-18T07:20:57.256Z
2BB,1781767257264,674,2026-06-18T07:20:57.264Z
1SB,1781767257386,823,2026-06-18T07:20:57.386Z
1BB,1781767259278,812,2026-06-18T07:20:59.278Z
2BB,1781767259364,674,2026-06-18T07:20:59.364Z
1SB,1781767259373,823,2026-06-18T07:20:59.373Z
2SB,1781767259444,740,2026-06-18T07:20:59.444Z
1BB,1781767261376,798,2026-06-18T07:21:01.376Z
2SB,1781767261544,741,2026-06-18T07:21:01.544Z
1SB,1781767261544,823,2026-06-18T07:21:01.544Z
2BB,1781767261560,674,2026-06-18T07:21:01.560Z
1BB,1781767263268,796,2026-06-18T07:21:03.268Z
2BB,1781767263379,675,2026-06-18T07:21:03.379Z
2SB,1781767263443,740,2026-06-18T07:21:03.443Z
1SB,1781767263541,936,2026-06-18T07:21:03.541Z
1BB,1781767265468,786,2026-06-18T07:21:05.468Z
1SB,1781767265542,827,2026-06-18T07:21:05.542Z
2SB,1781767265544,758,2026-06-18T07:21:05.544Z
2BB,1781767265582,670,2026-06-18T07:21:05.582Z
1BB,1781767267180,775,2026-06-18T07:21:07.180Z
2BB,1781767267303,675,2026-06-18T07:21:07.303Z
2SB,1781767267356,745,2026-06-18T07:21:07.356Z
1SB,1781767267424,828,2026-06-18T07:21:07.424Z
1BB,1781767269361,758,2026-06-18T07:21:09.361Z
2BB,1781767269408,675,2026-06-18T07:21:09.408Z
1SB,1781767269417,824,2026-06-18T07:21:09.417Z
2SB,1781767269450,748,2026-06-18T07:21:09.450Z
1BB,1781767271274,771,2026-06-18T07:21:11.274Z
2SB,1781767271453,736,2026-06-18T07:21:11.453Z
1SB,1781767271495,828,2026-06-18T07:21:11.495Z
2BB,1781767271511,675,2026-06-18T07:21:11.511Z
2BB,1781767273330,670,2026-06-18T07:21:13.330Z
1SB,1781767273382,823,2026-06-18T07:21:13.382Z
2SB,1781767273454,745,2026-06-18T07:21:13.454Z
1BB,1781767273458,773,2026-06-18T07:21:13.458Z
2SB,1781767275454,1137,2026-06-18T07:21:15.454Z
1BB,1781767275476,784,2026-06-18T07:21:15.476Z
1SB,1781767275476,823,2026-06-18T07:21:15.476Z
2BB,1781767275518,674,2026-06-18T07:21:15.518Z
1BB,1781767277273,774,2026-06-18T07:21:17.273Z
2BB,1781767277439,674,2026-06-18T07:21:17.439Z
2SB,1781767277550,741,2026-06-18T07:21:17.550Z
1SB,1781767277550,828,2026-06-18T07:21:17.550Z
1BB,1781767279357,775,2026-06-18T07:21:19.357Z
1SB,1781767279535,823,2026-06-18T07:21:19.535Z
2BB,1781767279535,674,2026-06-18T07:21:19.535Z
2SB,1781767279548,750,2026-06-18T07:21:19.548Z
2BB,1781767281356,674,2026-06-18T07:21:21.356Z
2SB,1781767281356,737,2026-06-18T07:21:21.356Z
1SB,1781767281436,823,2026-06-18T07:21:21.436Z
1BB,1781767281452,776,2026-06-18T07:21:21.452Z
1BB,1781767283367,770,2026-06-18T07:21:23.367Z
1SB,1781767283604,827,2026-06-18T07:21:23.604Z
2SB,1781767283636,741,2026-06-18T07:21:23.636Z
2BB,1781767283668,674,2026-06-18T07:21:23.668Z
1BB,1781767285554,780,2026-06-18T07:21:25.554Z
2BB,1781767285554,674,2026-06-18T07:21:25.554Z
1SB,1781767285602,828,2026-06-18T07:21:25.602Z
2SB,1781767285650,754,2026-06-18T07:21:25.650Z
1BB,1781767287461,779,2026-06-18T07:21:27.461Z
2BB,1781767287575,670,2026-06-18T07:21:27.575Z
2SB,1781767287636,1125,2026-06-18T07:21:27.636Z
1SB,1781767287691,828,2026-06-18T07:21:27.691Z
1BB,1781767289378,773,2026-06-18T07:21:29.378Z
2BB,1781767289402,674,2026-06-18T07:21:29.402Z
2SB,1781767289459,1117,2026-06-18T07:21:29.459Z
1SB,1781767289489,823,2026-06-18T07:21:29.489Z
1BB,1781767291459,780,2026-06-18T07:21:31.459Z
2SB,1781767291554,744,2026-06-18T07:21:31.554Z
1SB,1781767291570,823,2026-06-18T07:21:31.570Z
2BB,1781767291586,674,2026-06-18T07:21:31.586Z
1BB,1781767293356,775,2026-06-18T07:21:33.356Z
2BB,1781767293501,669,2026-06-18T07:21:33.501Z
1SB,1781767293554,823,2026-06-18T07:21:33.554Z
2SB,1781767293647,735,2026-06-18T07:21:33.647Z
1BB,1781767295555,773,2026-06-18T07:21:35.555Z
1SB,1781767295644,827,2026-06-18T07:21:35.644Z
2SB,1781767295644,748,2026-06-18T07:21:35.644Z
2BB,1781767295695,674,2026-06-18T07:21:35.695Z
1BB,1781767297551,773,2026-06-18T07:21:37.551Z
2BB,1781767297615,683,2026-06-18T07:21:37.615Z
1SB,1781767297726,827,2026-06-18T07:21:37.726Z
2SB,1781767297742,1117,2026-06-18T07:21:37.742Z
1BB,1781767299362,790,2026-06-18T07:21:39.362Z
2BB,1781767299426,674,2026-06-18T07:21:39.426Z
2SB,1781767299458,748,2026-06-18T07:21:39.458Z
1SB,1781767299538,819,2026-06-18T07:21:39.538Z
1BB,1781767301445,828,2026-06-18T07:21:41.445Z
2SB,1781767301459,744,2026-06-18T07:21:41.459Z
1SB,1781767301507,823,2026-06-18T07:21:41.507Z
2BB,1781767301539,674,2026-06-18T07:21:41.539Z
1BB,1781767303538,819,2026-06-18T07:21:43.538Z
1SB,1781767303586,823,2026-06-18T07:21:43.586Z
2BB,1781767303632,674,2026-06-18T07:21:43.632Z
2SB,1781767303648,733,2026-06-18T07:21:43.648Z
1BB,1781767305446,811,2026-06-18T07:21:45.446Z
2SB,1781767305462,741,2026-06-18T07:21:45.462Z
2BB,1781767305541,674,2026-06-18T07:21:45.541Z
1SB,1781767305576,818,2026-06-18T07:21:45.576Z
1BB,1781767307451,818,2026-06-18T07:21:47.451Z
2BB,1781767307451,674,2026-06-18T07:21:47.451Z
2SB,1781767307558,741,2026-06-18T07:21:47.558Z
1SB,1781767307578,823,2026-06-18T07:21:47.578Z
2SB,1781767309366,736,2026-06-18T07:21:49.366Z
2BB,1781767309366,670,2026-06-18T07:21:49.366Z
1BB,1781767309446,821,2026-06-18T07:21:49.446Z
1SB,1781767309476,819,2026-06-18T07:21:49.476Z
1BB,1781767311539,802,2026-06-18T07:21:51.539Z
1SB,1781767311648,819,2026-06-18T07:21:51.648Z
2SB,1781767311648,745,2026-06-18T07:21:51.648Z
2BB,1781767311663,674,2026-06-18T07:21:51.663Z
1BB,1781767313445,775,2026-06-18T07:21:53.445Z
2SB,1781767313456,737,2026-06-18T07:21:53.456Z
2BB,1781767313476,674,2026-06-18T07:21:53.476Z
1SB,1781767313539,819,2026-06-18T07:21:53.539Z
2BB,1781767315589,674,2026-06-18T07:21:55.589Z
1SB,1781767315629,819,2026-06-18T07:21:55.629Z
1BB,1781767315641,762,2026-06-18T07:21:55.641Z
2SB,1781767315649,741,2026-06-18T07:21:55.649Z
1BB,1781767317639,759,2026-06-18T07:21:57.639Z
2SB,1781767317750,741,2026-06-18T07:21:57.750Z
2BB,1781767317776,674,2026-06-18T07:21:57.776Z
1SB,1781767317792,823,2026-06-18T07:21:57.792Z
1BB,1781767319445,737,2026-06-18T07:21:59.445Z
2BB,1781767319508,674,2026-06-18T07:21:59.508Z
2SB,1781767319553,740,2026-06-18T07:21:59.553Z
1SB,1781767319613,823,2026-06-18T07:21:59.613Z
1BB,1781767321539,726,2026-06-18T07:22:01.539Z
2SB,1781767321643,741,2026-06-18T07:22:01.643Z
1SB,1781767321686,818,2026-06-18T07:22:01.686Z
2BB,1781767321706,673,2026-06-18T07:22:01.706Z
2BB,1781767323610,674,2026-06-18T07:22:03.610Z
1BB,1781767323632,718,2026-06-18T07:22:03.632Z
1SB,1781767323673,837,2026-06-18T07:22:03.673Z
2SB,1781767323752,741,2026-06-18T07:22:03.752Z
1BB,1781767325547,715,2026-06-18T07:22:05.547Z
2BB,1781767325726,674,2026-06-18T07:22:05.726Z
2SB,1781767325755,745,2026-06-18T07:22:05.755Z
1SB,1781767325757,818,2026-06-18T07:22:05.757Z
1BB,1781767327726,731,2026-06-18T07:22:07.726Z
2BB,1781767327825,674,2026-06-18T07:22:07.825Z
1SB,1781767327846,819,2026-06-18T07:22:07.846Z
2SB,1781767327850,745,2026-06-18T07:22:07.850Z
