Sensorname,timestamp,distanceToWaterInMM,timestampInUTC
2SB,1781762356936,795,2026-06-18T05:59:16.936Z
2SB,1781762361024,3356,2026-06-18T05:59:21.024Z
2SB,1781762363130,1352,2026-06-18T05:59:23.130Z
2SB,1781762365135,1401,2026-06-18T05:59:25.135Z
2SB,1781762366938,734,2026-06-18T05:59:26.938Z
2SB,1781762369037,2436,2026-06-18T05:59:29.037Z
2SB,1781762371124,3352,2026-06-18T05:59:31.124Z
2SB,1781762373122,3356,2026-06-18T05:59:33.122Z
2SB,1781762375215,3359,2026-06-18T05:59:35.215Z
2SB,1781762377228,3354,2026-06-18T05:59:37.228Z
2SB,1781762381130,3291,2026-06-18T05:59:41.130Z
2SB,1781762383127,1388,2026-06-18T05:59:43.127Z
2SB,1781762385222,0,2026-06-18T05:59:45.222Z
2SB,1781762389312,766,2026-06-18T05:59:49.312Z
2SB,1781762391036,1870,2026-06-18T05:59:51.036Z
2SB,1781762395214,2819,2026-06-18T05:59:55.214Z
2SB,1781762399310,0,2026-06-18T05:59:59.310Z
2SB,1781762401129,3360,2026-06-18T06:00:01.129Z
2SB,1781762403227,3355,2026-06-18T06:00:03.227Z
2SB,1781762407312,3355,2026-06-18T06:00:07.312Z
2SB,1781762409413,3365,2026-06-18T06:00:09.413Z
2SB,1781762411123,2999,2026-06-18T06:00:11.123Z
2SB,1781762413217,1229,2026-06-18T06:00:13.217Z
2SB,1781762415311,592,2026-06-18T06:00:15.311Z
2SB,1781762417404,1893,2026-06-18T06:00:17.404Z
2SB,1781762419406,1853,2026-06-18T06:00:19.406Z
2SB,1781762421304,3356,2026-06-18T06:00:21.304Z
2SB,1781762425300,1315,2026-06-18T06:00:25.300Z
2SB,1781762429403,3357,2026-06-18T06:00:29.403Z
2SB,1781762431505,2037,2026-06-18T06:00:31.505Z
2SB,1781762433216,549,2026-06-18T06:00:33.216Z
2SB,1781762435405,1024,2026-06-18T06:00:35.405Z
2SB,1781762437405,2410,2026-06-18T06:00:37.405Z
2SB,1781762439501,3358,2026-06-18T06:00:39.501Z
2SB,1781762441506,3358,2026-06-18T06:00:41.506Z
2SB,1781762443409,3360,2026-06-18T06:00:43.409Z
